Id,ln,dob,gn,fn
1,SMITH JR,01/03/68,F,WILLIAM
2,ROTHMEYER JR,01/03/68,F,WILLIAM
3,ASBY JR,01/03/68,F,WILLIAM
4,SALTER JR,01/03/68,F,WILLIAM
5,SALTER JR,01/03/68,F,WILLIAM
6,BLAND JR,21/02/62,F,WILLIAM
7,BLAND JR,21/02/62,F,WILLIAM
8,BLAND JR,21/02/62,F,WILLIAM
9,SHAFFER JR,21/02/62,F,WILLIAM
10,SHAFFER JR,21/02/62,F,WILLIAM
11,BLAND III,21/02/62,F,WILLIAM
12,BLAND JR,21/02/62,F,BILL
13,BLAND,21/02/62,F,WILLIAM
14,BLAND JR,21/02/62,F,WILLIAM
15,BLAND JR,08/06/54,F,WILLIAM
16,BLAND JR,08/06/54,F,WILLIAM
17,BLAND JR,25/10/53,F,WILLIAM
18,BLAND JR,25/10/53,F,WILLIAM
19,SHAFFER JR,25/10/53,F,WILLIAM
20,DUNCAN JR,25/10/53,F,THOMAS
21,CARLSON JR,25/10/53,F,ROY
22,CARLSON JR,25/10/53,F,RON
23,DUNCAN JR,25/10/53,F,ROY
24,MICHAELSON,25/10/53,M,ROY
25,MICHAELSON JR,25/10/53,M,ROY
26,MICHAELSON,25/10/53,M,ROY
27,MICHAELSON JR,25/10/53,M,ROY
28,MICHAELSON JR,01/05/51,M,ROY
29,MICHAELSON JR,17/06/48,M,ROY
30,MICHAELSON JR,17/06/48,M,ROY
31,MICHAELSON JR,09/04/47,M,ROY
32,MICHAELSON JR,09/04/47,M,ROBERT
33,MICHAELSON JR,09/04/47,M,BOB
34,MUSTAPHA JR,11/03/47,M,OWEN
35,MUSTAPHA JR,11/03/47,M,OWAN
36,HOUGHTON JR,31/01/46,M,LAWRENCE
37,HOUGHTON JR,31/01/46,M,LAWRENCE
38,HOUGHTON JR,31/01/46,M,LAWRENCE
39,LIND JR,31/01/46,M,LAWRENCE
40,LIND JR,31/01/46,M,LAWRENCE
41,LIND JR,31/01/46,M,KENNETH
42,LIND JR,31/01/46,M,KENNETH
43,LIND JR,20/01/46,M,JOHN
44,CAIN JR,20/01/46,M,JOHN
45,CLARK,09/06/45,M,JOHN
46,CLARK,09/02/45,M,RONALD
47,CLARK,09/02/45,M,DONALD
48,CLARK,16/12/44,M,JOHN
49,CLARK JR,16/12/44,M,JOHN
50,CLARK JR,16/12/44,M,JOHN
51,MICHAELSON JR,16/12/44,M,JOHN
52,MICHAELSON JR,16/12/44,M,JOHN
53,MICHAELSON JR,16/12/44,M,JOHN
54,MICHAELSON JR,24/04/40,M,JOHN
55,MICHAELSON JR,24/04/40,M,JOHN
56,MICHAELSON JR,24/06/39,M,JOHN
57,MICHAELSON JR,24/06/39,M,JOHN
58,MICHAELSON JR,24/06/39,M,JOHN
59,MICHAELSON JR,24/06/39,M,JAMES
60,MICHAELSON JR,24/06/39,M,JAMES
61,MICHAELSON JR,24/06/39,M,JACK
62,MICHAELSON JR,09/06/39,M,JACK
63,LARSON JR,09/06/39,M,HAROLD
64,LARSON JR,09/06/39,M,HAROLD
65,MUSTAPHA JR,07/10/37,M,HAROLD
66,HOUGHTON JR,07/10/37,M,HAROLD
67,MELVIN JR,07/10/37,M,HAROLD
68,MELVIN JR,07/10/37,M,HAROLD
69,MELVIN JR,07/10/37,M,HAROLD
70,MELVIN JR,07/10/37,M,HAROLD
71,MELVIN JR,07/10/37,M,HAROLD
72,MELVIN JR,07/10/37,M,HAROLD
73,MELVIN JR,07/10/37,M,HAROLD
74,MELVIN JR,07/10/37,M,HAROLD
75,MELVIN JR,07/10/37,M,HAROLD
76,CHAVAS JR,07/10/37,M,HAROLD
77,CHAVAS JR,07/10/37,M,HAROLD
78,CHAVAS JR,07/10/37,M,HAROLD
79,CHAVAS JR,07/10/37,M,HAROLD
80,MICHAELSON JR,07/10/37,M,HAROLD
81,MICHAELSON JR,07/10/37,M,HAROLD
82,SMITH JR,07/10/37,M,HAROLD
83,CHAVAS JR,07/10/37,M,HAROLD
84,CHAVAS JR,07/10/37,M,HAROLD
85,FAGEN JR,07/10/37,M,HAROLD
86,FAGEN JR,07/10/37,M,HAROLD
87,FAGEN JR,07/10/37,M,GEORGE
88,GRIFFIN JR,07/10/37,M,DARH
89,GRIFFIN JR,10/07/37,M,DARL
90,GRIFFIN JR,07/05/37,M,DARL
91,GRIFFIN JR,07/05/37,M,CLIFFORD
92,GRIFFIN JR,07/05/37,M,CLIFFORD
93,GRIFFIN JR,07/05/37,M,CLIFFORD
94,GRIFFIN JR,07/05/37,M,CLARENCE
95,HANNA,24/11/34,M,ADDISON J
96,HANNA,24/11/34,M,ADDISON JOHN
97,HANNA,24/11/34,M,ADDISON
98,HANNA,24/11/34,M,ADDISON
99,HANNA,24/11/34,M,ADDISON
100,GALETICH JR,15/10/32,M,ADDISON
101,FUNARO JONES,06/12/37,F,HARRIET
102,FUNARO J,06/12/37,F,HARRIET
103,FUNARO,06/12/37,F,HARRIET
